YEAR,Hectares
2001,43644
2002,78395
2003,24955
2004,17625
2005,41346
2006,27136
2007,40172
2008,37849
2009,38253
2010,19500
2011,36243
2012,36626
2013,81228
2014,120298
2015,57407
2016,119245
2017,115286
2018,151446
2019,88257
2020,136600
